Year,Budget Series,Ministry,Department,Activity,Units,Value
2020,Actual,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),1063.189486
2020,Actual,Ministry of Internal Affairs,,,Value in Millions (VT),1147.554966
2020,Actual,Ministry of Justice and Social Welfare,,,Value in Millions (VT),197.550011
2020,Actual,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),300.946307
2020,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),269.158563
2020,Actual,Ministry of Youth Development and Sports,,,Value in Millions (VT),79.920468
2020,Actual,Prime Ministers Ministry,,,Value in Millions (VT),530.942404
2020,Budget,Constitutional Agencies,,,Value in Millions (VT),1496.884011
2020,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),1325.161468
2020,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),318.198431
2020,Budget,Ministry of Education & Training,,,Value in Millions (VT),2261.469326
2020,Budget,Ministry of Finance and Economic Management,,,Value in Millions (VT),19895.37141
2020,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),319.443455
2020,Budget,Ministry of Health,,,Value in Millions (VT),1344.436003
2020,Budget,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),1166.897411
2020,Budget,Ministry of Internal Affairs,,,Value in Millions (VT),1168.49122
2020,Budget,Ministry of Justice and Social Welfare,,,Value in Millions (VT),854.264145
2020,Budget,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),292.018925
2020,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),451.681908
2020,Budget,Ministry of Youth Development and Sports,,,Value in Millions (VT),91.309014
2020,Budget,Prime Ministers Ministry,,,Value in Millions (VT),951.333739
2021,Actual,Constitutional Agencies,,,Value in Millions (VT),665.558962
2021,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),384.899937
2021,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),170.268707
2021,Actual,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,,Value in Millions (VT),-0.06635
2021,Actual,Ministry of Education & Training,,,Value in Millions (VT),2160.814656
2021,Actual,Ministry of Finance and Economic Management,,,Value in Millions (VT),6120.238747
2021,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),89.080863
2021,Actual,Ministry of Health,,,Value in Millions (VT),413.49426
2021,Actual,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),639.497696
2021,Actual,Ministry of Internal Affairs,,,Value in Millions (VT),704.535708
2021,Actual,Ministry of Justice and Social Welfare,,,Value in Millions (VT),71.73605
2021,Actual,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),92.444697
2021,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),248.823862
2021,Actual,Ministry of Youth Development and Sports,,,Value in Millions (VT),60.443594
2021,Actual,Prime Ministers Ministry,,,Value in Millions (VT),258.058779
2021,Budget,Constitutional Agencies,,,Value in Millions (VT),1084.12473
2021,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),1484.076444
2021,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),286.681265
2021,Budget,Ministry of Education & Training,,,Value in Millions (VT),3356.592893
2021,Budget,Ministry of Finance and Economic Management,,,Value in Millions (VT),8284.279982
2021,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),278.21628
2021,Budget,Ministry of Health,,,Value in Millions (VT),809.962515
2021,Budget,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),3599.589819
2021,Budget,Ministry of Internal Affairs,,,Value in Millions (VT),1039.422818
2021,Budget,Ministry of Justice and Social Welfare,,,Value in Millions (VT),139.577462
2021,Budget,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),131.388228
2021,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),976.109425
2021,Budget,Ministry of Youth Development and Sports,,,Value in Millions (VT),122.021391
2021,Budget,Prime Ministers Ministry,,,Value in Millions (VT),535.051869
2010,Actual,Constitutional Agencies,Citizenship Office,,Value in Millions (VT),0.836471
2010,Actual,Constitutional Agencies,Judicial Services Commission,,Value in Millions (VT),0.875866
2010,Actual,Constitutional Agencies,Judiciary,,Value in Millions (VT),89.737135
2010,Actual,Constitutional Agencies,Malvatumauri Council of Chiefs,,Value in Millions (VT),14.90996
2010,Actual,Constitutional Agencies,National Audit Office,,Value in Millions (VT),9.083213
2010,Actual,Constitutional Agencies,Office of the Ombudsman,,Value in Millions (VT),14.499402
2010,Actual,Constitutional Agencies,Parliament,,Value in Millions (VT),378.137116
2010,Actual,Constitutional Agencies,President of the Republic,,Value in Millions (VT),18.058481
2010,Actual,Constitutional Agencies,Public Prosecutor,,Value in Millions (VT),14.645485
2010,Actual,Constitutional Agencies,Public Service Commission,,Value in Millions (VT),36.123209
2010,Actual,Constitutional Agencies,Public Solicitor,,Value in Millions (VT),17.293106
2010,Actual,Constitutional Agencies,State Law Office,,Value in Millions (VT),16.139099
2010,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",,Value in Millions (VT),11.182254
2010,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,,Value in Millions (VT),48.564388
2010,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,,Value in Millions (VT),56.458838
2010,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,,Value in Millions (VT),45.174287
2010,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,,Value in Millions (VT),16.900162
2010,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,,Value in Millions (VT),2.370964
2010,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,,Value in Millions (VT),5.387764
2010,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,,Value in Millions (VT),14.80415
2010,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,,Value in Millions (VT),54.627103
2010,Actual,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,Ministry of Ni-Vanuatu Business Development & Coops Cabinet,,Value in Millions (VT),9.632695
2010,Actual,Ministry of Education & Training,Director General Directorate,,Value in Millions (VT),603.301052
2010,Actual,Ministry of Education & Training,Education Commissions and Councils,,Value in Millions (VT),104.681577
2010,Actual,Ministry of Education & Training,MoE Cabinet,,Value in Millions (VT),7.560263
2010,Actual,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,,Value in Millions (VT),138.462088
2010,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,,Value in Millions (VT),2898.958555
2010,Actual,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,,Value in Millions (VT),17.326318
2010,Actual,Ministry of Finance and Economic Management,MFEM Cabinet,,Value in Millions (VT),6.312232
2010,Actual,Ministry of Finance and Economic Management,MFEM Corporate Services,,Value in Millions (VT),25.676096
2010,Actual,Ministry of Finance and Economic Management,National Statistics Office,,Value in Millions (VT),41.329124
2010,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",,Value in Millions (VT),26.143227
2010,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,,Value in Millions (VT),110.191827
2010,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,,Value in Millions (VT),9.27598
2010,Actual,Ministry of Health,Department of Health,,Value in Millions (VT),721.040651
2010,Actual,Ministry of Health,Health Cabinet,,Value in Millions (VT),15.132549
2010,Actual,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,,Value in Millions (VT),20.76524
2010,Actual,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,,Value in Millions (VT),25.484398
2010,Actual,Ministry of Infrastructure and Public Utilities,Department of Public Works,,Value in Millions (VT),772.50568
2010,Actual,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,,Value in Millions (VT),56.637489
2010,Actual,Ministry of Internal Affairs,Civil Registry Office,,Value in Millions (VT),4.155614
2010,Actual,Ministry of Internal Affairs,Department of Immigration,,Value in Millions (VT),44.676217
2010,Actual,Ministry of Internal Affairs,Department of Labour,,Value in Millions (VT),21.884192
2010,Actual,Ministry of Internal Affairs,Department of Provincial Affairs,,Value in Millions (VT),245.357601
2010,Actual,Ministry of Internal Affairs,Electoral Office,,Value in Millions (VT),30.683511
2010,Actual,Ministry of Internal Affairs,Internal Affairs Cabinet,,Value in Millions (VT),76.607187
2010,Actual,Ministry of Internal Affairs,Police Service Commission,,Value in Millions (VT),1.581475
2010,Actual,Ministry of Internal Affairs,Vanuatu Police Force,,Value in Millions (VT),155.001114
2010,Actual,Ministry of Justice and Social Welfare,Correctional Services,,Value in Millions (VT),36.52615
2010,Actual,Ministry of Justice and Social Welfare,Department of Womens Affairs,,Value in Millions (VT),14.141822
2010,Actual,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,,Value in Millions (VT),21.669504
2010,Actual,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,,Value in Millions (VT),13.896149
2010,Actual,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,,Value in Millions (VT),4.512155
2010,Actual,"Ministry of Lands, Mines & Water Resources",Corporate Services,,Value in Millions (VT),61.54767
2010,Actual,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,,Value in Millions (VT),14.735888
2010,Actual,"Ministry of Lands, Mines & Water Resources",Department of Land Records,,Value in Millions (VT),2.139185
2010,Actual,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,,Value in Millions (VT),6.110007
2010,Actual,"Ministry of Lands, Mines & Water Resources",Department of Lands,,Value in Millions (VT),6.980572
2010,Actual,"Ministry of Lands, Mines & Water Resources",Valuer General,,Value in Millions (VT),10.01904
2010,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,,Value in Millions (VT),31.614956
2010,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,,Value in Millions (VT),25.50539
2010,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",,Value in Millions (VT),11.356867
2010,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,,Value in Millions (VT),84.051714
2010,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Vanuatu Investment Promotion Authority,,Value in Millions (VT),37.181008
2010,Actual,Ministry of Youth Development and Sports,Department of Youth and Sport,,Value in Millions (VT),86.298304
2010,Actual,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,,Value in Millions (VT),4.967014
2010,Actual,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,,Value in Millions (VT),17.638539
2010,Actual,Prime Ministers Ministry,Language Services Department,,Value in Millions (VT),3.291862
2010,Actual,Prime Ministers Ministry,Prime Ministers Cabinet,,Value in Millions (VT),59.173851
2010,Budget,Constitutional Agencies,Citizenship Office,,Value in Millions (VT),0.836223
2010,Budget,Constitutional Agencies,Judicial Services Commission,,Value in Millions (VT),0.889186
2010,Budget,Constitutional Agencies,Judiciary,,Value in Millions (VT),89.691606
2010,Budget,Constitutional Agencies,Malvatumauri Council of Chiefs,,Value in Millions (VT),17.244024
2010,Budget,Constitutional Agencies,National Audit Office,,Value in Millions (VT),9.325188
2010,Budget,Constitutional Agencies,Office of the Ombudsman,,Value in Millions (VT),14.582939
2010,Budget,Constitutional Agencies,Parliament,,Value in Millions (VT),374.223185
2010,Budget,Constitutional Agencies,President of the Republic,,Value in Millions (VT),17.042333
2010,Budget,Constitutional Agencies,Public Prosecutor,,Value in Millions (VT),11.077893
2010,Budget,Constitutional Agencies,Public Service Commission,,Value in Millions (VT),38.399686
2010,Budget,Constitutional Agencies,Public Solicitor,,Value in Millions (VT),13.434748
2010,Budget,Constitutional Agencies,State Law Office,,Value in Millions (VT),16.14223
2010,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",,Value in Millions (VT),10.744705
2010,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,,Value in Millions (VT),47.237809
2010,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,,Value in Millions (VT),62.671742
2010,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,,Value in Millions (VT),31.458656
2010,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,,Value in Millions (VT),12.709071
2010,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,,Value in Millions (VT),2.371889
2010,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,,Value in Millions (VT),5.672444
2010,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,,Value in Millions (VT),15.009858
2010,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,,Value in Millions (VT),52.039737
