Year,Series,Commodity,Country,Value
2023,Price per unit (vatu per kilogram/litre),Iron or steel,,224
2023,Price per unit (vatu per kilogram/litre),Medicaments,,6183
2023,Price per unit (vatu per kilogram/litre),Petroleum oils,,116
2023,Price per unit (vatu per kilogram/litre),Rice,,76
2023,Price per unit (vatu per kilogram/litre),Alcoholic drinks,China,290
2023,Price per unit (vatu per kilogram/litre),Alcoholic drinks,France,331
2023,Price per unit (vatu per kilogram/litre),Alcoholic drinks,Singapore,279
2023,Price per unit (vatu per kilogram/litre),Alcoholic drinks,Solomon Islands,243
2023,Price per unit (vatu per kilogram/litre),Alcoholic drinks,United Kingdom,893
2023,Price per unit (vatu per kilogram/litre),Iron or steel,China,166
2023,Price per unit (vatu per kilogram/litre),Iron or steel,Australia,595
2023,Price per unit (vatu per kilogram/litre),Iron or steel,Japan,210
2023,Price per unit (vatu per kilogram/litre),Iron or steel,New Zealand,662
2023,Price per unit (vatu per kilogram/litre),Iron or steel,Fiji,366
2023,Price per unit (vatu per kilogram/litre),Medicaments,Australia,2434
2023,Price per unit (vatu per kilogram/litre),Medicaments,New Zealand,21898
2023,Price per unit (vatu per kilogram/litre),Medicaments,India,8530
2023,Price per unit (vatu per kilogram/litre),Medicaments,United States of America,57851
2023,Price per unit (vatu per kilogram/litre),Medicaments,Fiji,13298
2023,Price per unit (vatu per kilogram/litre),Petroleum oils,Singapore,115
2023,Price per unit (vatu per kilogram/litre),Petroleum oils,Australia,279
2023,Price per unit (vatu per kilogram/litre),Petroleum oils,New Zealand,151
2023,Price per unit (vatu per kilogram/litre),Petroleum oils,United Arab Emirates,417
2023,Price per unit (vatu per kilogram/litre),Petroleum oils,Malaysia,315
2023,Price per unit (vatu per kilogram/litre),Rice,China,80
2023,Price per unit (vatu per kilogram/litre),Rice,Taiwan,68
2023,Price per unit (vatu per kilogram/litre),Rice,Vietnam,72
2023,Price per unit (vatu per kilogram/litre),Rice,Fiji,106
2023,Price per unit (vatu per kilogram/litre),Rice,Thailand,130
2024,Price per unit (vatu per kilogram/litre),Alcoholic drinks,,323
2024,Price per unit (vatu per kilogram/litre),Iron or steel,,223
2024,Price per unit (vatu per kilogram/litre),Medicaments,,8150
2024,Price per unit (vatu per kilogram/litre),Petroleum oils,,108
2024,Price per unit (vatu per kilogram/litre),Rice,,88
2024,Price per unit (vatu per kilogram/litre),Alcoholic drinks,China,288
2024,Price per unit (vatu per kilogram/litre),Alcoholic drinks,France,385
2024,Price per unit (vatu per kilogram/litre),Alcoholic drinks,Singapore,290
2024,Price per unit (vatu per kilogram/litre),Alcoholic drinks,Solomon Islands,248
2024,Price per unit (vatu per kilogram/litre),Alcoholic drinks,United Kingdom,965
2024,Price per unit (vatu per kilogram/litre),Iron or steel,China,149
2024,Price per unit (vatu per kilogram/litre),Iron or steel,Australia,732
2024,Price per unit (vatu per kilogram/litre),Iron or steel,Japan,538
2024,Price per unit (vatu per kilogram/litre),Iron or steel,New Zealand,695
2024,Price per unit (vatu per kilogram/litre),Iron or steel,Fiji,365
2024,Price per unit (vatu per kilogram/litre),Medicaments,Australia,6163
2024,Price per unit (vatu per kilogram/litre),Medicaments,New Zealand,19549
2024,Price per unit (vatu per kilogram/litre),Medicaments,India,6805
2024,Price per unit (vatu per kilogram/litre),Medicaments,United States of America,116618
2024,Price per unit (vatu per kilogram/litre),Medicaments,Fiji,4582
2024,Price per unit (vatu per kilogram/litre),Petroleum oils,Singapore,105
2024,Price per unit (vatu per kilogram/litre),Petroleum oils,Australia,308
2024,Price per unit (vatu per kilogram/litre),Petroleum oils,New Zealand,152
2024,Price per unit (vatu per kilogram/litre),Petroleum oils,United Arab Emirates,377
2024,Price per unit (vatu per kilogram/litre),Petroleum oils,Malaysia,299
2024,Price per unit (vatu per kilogram/litre),Rice,China,89
2024,Price per unit (vatu per kilogram/litre),Rice,Taiwan,78
2024,Price per unit (vatu per kilogram/litre),Rice,Vietnam,97
2024,Price per unit (vatu per kilogram/litre),Rice,Fiji,120
2024,Price per unit (vatu per kilogram/litre),Rice,Thailand,104
