Year,Series,Ministry,Department,Value
2005,Original Budget,Ministry of Health,Health Cabinet,31
2005,Original Budget,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,36
2005,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,54
2005,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Public Works,468
2005,Original Budget,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,49
2005,Original Budget,Ministry of Internal Affairs,Civil Registry Office,7
2005,Original Budget,Ministry of Internal Affairs,Department of Immigration,43
2005,Original Budget,Ministry of Internal Affairs,Department of Labour,27
2005,Original Budget,Ministry of Internal Affairs,Department of Provincial Affairs,263
2005,Original Budget,Ministry of Internal Affairs,Electoral Office,14
2005,Original Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,115
2005,Original Budget,Ministry of Internal Affairs,Vanuatu Police Force,554
2005,Original Budget,Ministry of Justice and Social Welfare,Department of Womens Affairs,23
2005,Original Budget,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,20
2005,Original Budget,"Ministry of Lands, Mines & Water Resources",Corporate Services,105
2005,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,37
2005,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Records,7
2005,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,24
2005,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Lands,24
2005,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,35
2005,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,14
2005,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",31
2005,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Vanuatu Investment Promotion Authority,19
2005,Original Budget,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,24
2005,Original Budget,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,13
2005,Original Budget,Prime Ministers Ministry,Language Services Department,16
2005,Original Budget,Prime Ministers Ministry,Prime Ministers Cabinet,66
2006,Original Budget,Constitutional Agencies,Citizenship Office,3
2006,Original Budget,Constitutional Agencies,Judiciary,102
2006,Original Budget,Constitutional Agencies,Malvatumauri Council of Chiefs,22
2006,Original Budget,Constitutional Agencies,National Audit Office,27
2006,Original Budget,Constitutional Agencies,Office of the Ombudsman,47
2006,Original Budget,Constitutional Agencies,Parliament,377
2006,Original Budget,Constitutional Agencies,President of the Republic,31
2006,Original Budget,Constitutional Agencies,Public Prosecutor,34
2006,Original Budget,Constitutional Agencies,Public Service Commission,83
2006,Original Budget,Constitutional Agencies,Public Solicitor,25
2006,Original Budget,Constitutional Agencies,State Law Office,48
2006,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",101
2006,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,75
2006,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,96
2006,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,62
2006,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,52
2006,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,9
2006,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,7
2006,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,62
2006,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Ministry of Cooperatives and Ni-Vanuatu Business Development Services,27
2006,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Ministry of Ni-Vanuatu Business Development & Coops Cabinet,27
2006,Original Budget,Ministry of Education & Training,Director General Directorate,2015
2006,Original Budget,Ministry of Education & Training,MoE Cabinet,24
2006,Original Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,190
2006,Original Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,2671
2006,Original Budget,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,49
2006,Original Budget,Ministry of Finance and Economic Management,MFEM Cabinet,52
2006,Original Budget,Ministry of Finance and Economic Management,National Statistics Office,32
2006,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",26
2006,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,174
2006,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,24
2006,Original Budget,Ministry of Health,Department of Health,965
2006,Original Budget,Ministry of Health,Health Cabinet,33
2006,Original Budget,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,39
2006,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,64
2006,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Public Works,453
2006,Original Budget,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,52
2006,Original Budget,Ministry of Internal Affairs,Civil Registry Office,7
2006,Original Budget,Ministry of Internal Affairs,Department of Immigration,37
2006,Original Budget,Ministry of Internal Affairs,Department of Labour,30
2006,Original Budget,Ministry of Internal Affairs,Department of Provincial Affairs,257
2006,Original Budget,Ministry of Internal Affairs,Electoral Office,12
2006,Original Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,75
2006,Original Budget,Ministry of Internal Affairs,Vanuatu Police Force,541
2006,Original Budget,Ministry of Justice and Social Welfare,Correctional Services,64
2006,Original Budget,Ministry of Justice and Social Welfare,Department of Womens Affairs,27
2006,Original Budget,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,21
2006,Original Budget,"Ministry of Lands, Mines & Water Resources",Corporate Services,127
2006,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,33
2006,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Records,7
2006,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,21
2006,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Lands,26
2006,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,30
2006,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,17
2006,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",35
2006,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Vanuatu Investment Promotion Authority,21
2006,Original Budget,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,24
2006,Original Budget,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,19
2006,Original Budget,Prime Ministers Ministry,Language Services Department,17
2006,Original Budget,Prime Ministers Ministry,Prime Ministers Cabinet,85
2007,Original Budget,Constitutional Agencies,Citizenship Office,4
2007,Original Budget,Constitutional Agencies,Judiciary,104
2007,Original Budget,Constitutional Agencies,Malvatumauri Council of Chiefs,29
2007,Original Budget,Constitutional Agencies,National Audit Office,26
2007,Original Budget,Constitutional Agencies,Office of the Ombudsman,49
2007,Original Budget,Constitutional Agencies,Parliament,421
2007,Original Budget,Constitutional Agencies,President of the Republic,32
2007,Original Budget,Constitutional Agencies,Public Prosecutor,29
2007,Original Budget,Constitutional Agencies,Public Service Commission,118
2007,Original Budget,Constitutional Agencies,Public Solicitor,25
2007,Original Budget,Constitutional Agencies,State Law Office,50
2007,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",103
2007,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,89
2007,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,108
2007,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,44
2007,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,63
2007,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,9
2007,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,7
2007,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,73
2007,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Ministry of Cooperatives and Ni-Vanuatu Business Development Services,29
2007,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Ministry of Ni-Vanuatu Business Development & Coops Cabinet,29
2007,Original Budget,Ministry of Education & Training,Director General Directorate,3124
2007,Original Budget,Ministry of Education & Training,MoE Cabinet,27
2007,Original Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,255
2007,Original Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,2128
2007,Original Budget,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,27
2007,Original Budget,Ministry of Finance and Economic Management,MFEM Cabinet,65
2007,Original Budget,Ministry of Finance and Economic Management,National Statistics Office,34
2007,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",25
2007,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,175
2007,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,38
2007,Original Budget,Ministry of Health,Department of Health,1378
2007,Original Budget,Ministry of Health,Health Cabinet,37
2007,Original Budget,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,49
2007,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,86
2007,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Public Works,1151
2007,Original Budget,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,61
2007,Original Budget,Ministry of Internal Affairs,Civil Registry Office,8
2007,Original Budget,Ministry of Internal Affairs,Department of Immigration,56
2007,Original Budget,Ministry of Internal Affairs,Department of Labour,35
2007,Original Budget,Ministry of Internal Affairs,Department of Provincial Affairs,319
2007,Original Budget,Ministry of Internal Affairs,Electoral Office,20
2007,Original Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,83
2007,Original Budget,Ministry of Internal Affairs,Vanuatu Police Force,492
2007,Original Budget,Ministry of Justice and Social Welfare,Correctional Services,83
2007,Original Budget,Ministry of Justice and Social Welfare,Department of Womens Affairs,24
2007,Original Budget,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,43
